"domain","response","airport"
"163.com","The nearest international airport to the largest campus of 163.com is the Tencent Aviation Airport, with the 3-letter IATA code ""TKA"". ","TKA"
"a-star.edu.sg","The nearest international airport to a-star.edu.sg largest campus is Changi Airport, with the code SIN.","SIN"
"aalto.fi","The nearest international airport to the Aalto University main campus is the Helsinki-Vantaa International Airport (HEL).","HEL"
"ac.jp","The nearest international airport to the ac.jp largest campus is Narita International Airport in Tokyo, Japan, which is represented by the IATA code NRT.","NRT"
"accenture.com","The nearest international airport to the Accenture.com largest campus cannot be determined as the information regarding the campus location is not specified.",""
"adelaide.edu.au","ADL","ADL"
"adobe.com","SJC","SJC"
"affirm.com","The nearest international airport to affirm.com's largest campus is San Francisco International Airport (SFO). So, the requested 3-letter IATA code is SFO.","SFO"
"ai21.com","The nearest international airport to ai21.com's largest campus is SJC (Norman Y. Mineta San Jose International Airport).","SJC"
"aiit.org.cn","PEK","PEK"
"aiwaves.cn","The nearest international airport to aiwaves.cn largest campus is PVG.
","PVG"
"aleph-alpha.com","The nearest international airport to the largest aleph-alpha.com campus is YYZ, which is Toronto Pearson International Airport.","YYZ"
"alibaba-inc.com","PEK (Beijing Capital International Airport)","PEK"
"allenai.org","The nearest international airport to the allenai.org largest campus is the Seattle-Tacoma International Airport with the IATA code SEA.","SEA"
"alleninstitute.org","The nearest international airport to the Allen Institute's largest campus is Seattle-Tacoma International Airport, which has the IATA code SEA.","SEA"
"allianz.de","The nearest international airport to the Allianz.de largest campus does not specify therefore it cannot be determined which airport it is.",""
"alpacaml.com","The international airport nearest to the alpaca ml largest campus would be the San Francisco International Airport (SFO).","SFO"
"altoslabs.com","ORD","ORD"
"amazon.com","SEA","SEA"
"amazon.de","FRA.","FRA"
"amfam.com","MSP","MSP"
"aminer.cn","The nearest international airport to aminer.cn largest campus is BJS.","BJS"
"amss.ac.cn","The international airport nearest to the amss.ac.cn largest campus is the Beijing Capital International Airport with the 3-letter IATA code PEK.","PEK"
"angelalign.com","CAN","CAN"
"anl.gov","The nearest international airport to the largest campus of the Argonne National Laboratory (anl.gov) is Chicago O'Hare International Airport (ORD).","ORD"
"ant.com","The nearest international airport to the ant.com largest campus is ORD, which stands for Chicago O'Hare International Airport.","ORD"
"antfin.com","The nearest international airport to the antfin.com largest campus is Shanghai Pudong International Airport, with the three-letter IATA code PVG.","PVG"
"antgroup.com","The nearest international airport to the antgroup.com largest campus is the Hangzhou Xiaoshan International Airport (HGH).","HGH"
"anthropic.com","The nearest international airport to the anthropic.com largest campus is San Francisco International Airport (SFO), with the IATA code SFO.","SFO"
"anu.edu.au","The nearest international airport to the ANU.edu.au largest campus is the Canberra International Airport, with the IATA code CBR.","CBR"
"apple.com","SJC","SJC"
"arm.com","The three-letter IATA code for the international airport closest to the arm.com largest campus is SJC.","SJC"
